Gene symbol	TCGA-05-4244-01	TCGA-05-4249-01	TCGA-05-4250-01	TCGA-05-4382-01	TCGA-05-4384-01
MTHFD2L	128.4021	96.8607	117.6921	87.4226	188.0941
MTHFD2	1327.8646	903.7325	3299.9917	1654.0392	484.4227
MTHFR	1764.489	575.855	321.4524	438.9508	2886.2004
MTHFSD	177.6769	382.4846	184.697	226.3817	372.022
MTHFS	593.0709	254.6678	349.1669	328.5646	409.8962
MTIF2	967.6237	662.5869	776.258	670.2909	642.0281
MTIF3	395.497	609.4641	328.2765	607.8325	656.0782
MTL5	97.0416	11.9124	353.146	15.5548	5.4979
MTM1	507.5487	383.4505	278.8693	272.8067	329.2608
MTMR10	553.7796	698.7556	469.462	482.7746	798.088
MTMR11	811.2401	564.0682	718.2293	1738.0661	319.4869
MTMR12	1465.7474	1292.6562	831.9655	726.5274	1156.9945
MTMR14	1026.2676	779.4572	1308.1323	930.4145	928.5278
MTMR15	458.1761	309.6129	463.9708	275.341	468.8638
MTMR1	1180.2077	1011.91	851.1979	809.3266	609.0409
MTMR2	678.9423	612.3617	789.1901	972.0535	860.7208
MTMR3	1956.1916	2568.5707	924.8114	2023.0773	1154.551
MTMR4	1296.0991	1420.1511	1800.2155	1261.8508	1285.2779
MTMR6	923.6408	1488.084	1267.3464	1325.745	805.7422
MTMR7	32.9872	32.2601	48.1638	39.1143	61.1851
MTMR8	20.9442	14.81	13.5953	20.3409	7.3305
MTMR9L	57.2476	33.8055	34.154	150.7616	106.9029
MTMR9	184.2569	344.1428	405.8393	405.5631	345.1374
MTNR1A	3.8398	1.9317	1.658	0	0.6109
MTNR1B	0	0	0.3316	0	0
MTO1	377.3453	479.7155	202.9346	302.4804	397.0678
MTOR	1873.4619	1469.0885	805.1065	1241.9885	1596.2126
MTP18	353.4619	310.3985	555.3942	547.0589	218.1735
MTPAP	499.7923	556.4893	526.3865	443.0501	493.1399
MTRF1L	254.1234	381.8407	276.5481	233.8002	246.182
MTRF1	80.6353	126.207	97.8198	231.8857	140.5009
MTRR	3737.1498	844.4925	680.0962	455.1565	817.3488
MTR	1611.659	1179.9714	833.9551	704.5114	1342.0892
MTSS1L	794.4847	3167.0883	1654.6464	1536.3327	1555.2841
MTSS1	576.6646	2443.9413	303.3972	721.7365	627.3671
MTTP	2.0944	1.6098	8.2898	4.5468	3.0544
MTUS1	2650.8421	8595.2787	2826.1626	3519.9248	3802.6878
MTUS2	18.8498	13.8441	1.658	4.3075	4.887
MTVR2	0.3491	0	0	0.7179	0
MTX1	991.926	755.9319	1039.8508	928.4666	646.8235
MTX2	901.3003	678.0409	830.6391	698.7681	746.4875
MTX3	826.2501	363.1672	278.8693	285.0112	461.2095
MUC12	5.2361	4.8294	8.953	9.3329	1.8326
MUC13	105.4193	14.1661	40.1227	26.8021	167.3794
MUC15	180.1204	53.4448	15.5848	1311.1474	1483.8119
MUC16	778.4274	1253.6995	1574.4011	514.9825	16.4936
MUC17	0.3491	0	0	0	0.6109
MUC1	44386.0721	24067.8749	8237.0886	27304.843	47310.9346
MUC20	421.6773	1405.0191	429.0807	4236.4014	2144.1662
MUC21	22766.7336	117.8362	386.6368	1709.3496	558.3384
MUC2	2.4435	0.6439	0.6632	0	171.6555
MUC4	434.2438	3764.318	872.4198	2329.8652	3287.7214
MUC5B	883.8468	2723.11	46.0914	5322.3636	917.5321
MUC6	12.2175	6.1172	0.9948	12.6831	55.5895
MUC7	0	0	0	0	0
MUCL1	0.3491	0.6439	1.3264	2.1537	0
MUDENG	530.5873	635.5426	494.736	680.8203	668.2957
MUL1	796.9282	736.9589	989.8035	503.2566	611.4844
MUM1L1	68.7669	2.8976	1.658	31.8275	194.2578
MUM1	1050.3534	789.1159	360.441	454.4386	567.5015
MURC	6.9814	8.3709	7.6266	60.0653	4.2761
MUS81	685.5747	375.0796	631.3521	546.81	608.4301
MUSK	0.6981	3.5415	1.3264	0.9572	2.4435
MUSTN1	33.619	25.7565	5.9687	14.8369	34.2089
MUTED	409.8089	519.6382	358.4515	394.1339	349.4197
MUTYH	198.9109	86.2876	89.205	208.6349	195.901
MUT	800.4189	786.5403	779.5739	865.0845	968.2346
MVD	342.4383	772.6961	320.3183	728.9204	572.3885
MVK	377.3453	449.1296	321.3131	479.0869	467.3183
MVP	14045.5537	10495.1453	8772.9421	5428.854	8338.4239
MX1	1451.4356	5531.2165	2518.4448	1792.3881	815.5162
MX2	1314.2508	2204.1157	1281.6049	802.8654	1833.2315
MXD1	1811.3273	564.7121	1194.3961	461.3784	259.6213
MXD3	227.601	99.0146	212.5408	167.7522	126.3225
MXD4	908.9798	2546.3557	1010.6939	1406.1512	1644.4716
MXI1	623.4401	645.8452	1057.4484	1192.2133	1118.5095
MXRA5	924.688	1350.9304	2917.019	5476.7148	533.2926
MXRA7	3111.2663	2164.5151	6384.4815	5971.5958	1583.9951
MXRA8	921.8955	907.274	3749.3161	2475.6014	814.9053
MYADML2	3.1416	1.6098	0	3.5896	4.2761
MYADML	0	0	0	0	0
MYADM	1880.4433	3725.3613	4010.611	3309.8157	2616.9823
MYBBP1A	867.6813	1217.5276	1982.8998	1166.3182	1231.8754
MYBL1	1022.0787	54.4107	478.1563	77.5345	60.4765
MYBL2	816.1271	199.6132	1149.9627	1340.3426	63.5308
MYBPC1	0	0.9659	0.6632	3.5896	147.2205
MYBPC2	10.123	71.7963	7.9582	9.5722	6.1087
MYBPC3	5.9342	3.2196	0.3316	3.111	3.6652
MYBPHL	252.378	92.7235	98.483	14.5976	81.2462
MYBPH	11089.2748	219.2525	74.9399	5.7433	6.1087
MYB	100.5323	460.0762	146.2323	30.3916	42.7611
MYCBP2	645.0825	1373.7893	585.9239	1370.9735	1412.3396
MYCBPAP	59.342	7.405	2.9843	30.6309	17.1045
MYCBP	813.0517	572.1268	581.3811	865.7378	804.777
MYCL1	170.3465	281.0682	78.2558	476.2153	148.4423
MYCNOS	0	0.6439	0	0	0
MYCN	6.2833	42.8202	2.9843	40.6817	6.7196
MYCT1	123.2219	119.4459	171.1017	117.259	255.956
MYC	1761.0612	1040.8861	5900.3565	631.045	967.0128
MYD88	1832.9697	2150.6709	1664.9258	2687.1463	1716.5547
MYEF2	304.1208	458.3151	667.6515	206.3448	462.5473
MYEOV2	473.3397	512.5551	691.0387	767.2091	382.4068
MYEOV	270.8788	69.8646	250.6839	326.4109	14.0501
MYF5	0	0	0	0	0
MYF6	0	0.6439	0	1.4358	0.6109
MYH10	2036.8269	1823.5629	1477.2445	3407.2125	2723.8852
MYH11	661.5761	737.1231	1119.6253	2695.388	2601.2706
MYH13	0.3491	0	0	0.7179	0.6109
MYH14	2313.2909	3627.4864	2287.6565	5823.2272	3589.493
MYH15	16.0572	1.2878	25.201	10.7687	65.9743
MYH16	0	0	57.3655	1.1965	0.6109
MYH1	0	0	0	1.9144	1.2217
MYH2	0	0	0.3316	0	1.8326
MYH3	32.8126	17.0637	4.3107	36.6135	16.4936
MYH4	0	0.322	0	0.2393	0
MYH6	0	0.322	1.3264	0.4786	0
MYH7B	21.9914	5.4733	4.6423	25.1269	15.2718
MYH7	0	0.9659	0	0	0
MYH8	0.6981	0	0	0.9572	0.6109
MYH9	18130.0288	16055.016	32774.2684	37666.4734	34036.6524
MYL10	0	0.322	0	0	0
MYL12A	7599.9651	5762.7034	8978.1978	11022.1099	6755.6506
MYL12B	6660.267	6061.4792	6692.5309	8563.7384	7730.6048
MYL1	0	0	0	0	0
MYL2	0	0.6439	0	0.7179	1.2217
MYL3	0.3491	3.2196	2.9843	9.0936	1.8326
MYL4	1.7454	3.5415	0.9948	4.7861	0.6109
